Code,Days to Trade,FlowUS$m,Name,Shares to Trade,Status,days,effective_date,profit,relative_profit
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-15,2020/8/31,121.3924051,17.66499072
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-16,2020/8/31,120.5063291,16.09337551
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-17,2020/8/31,119.2405063,16.17102564
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-18,2020/8/31,116.7088608,13.12604722
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-19,2020/8/31,111.3924051,8.02846456
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-20,2020/8/31,113.4177215,8.007022374
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-21,2020/8/31,109.4936709,3.578840759
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-22,2020/8/31,105.6962025,-0.121350691
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-23,2020/8/31,87.34177215,-17.26244888
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-24,2020/8/31,89.36708861,-15.11422174
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-25,2020/8/31,88.73417722,-16.85201472
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-26,2020/8/31,91.7721519,-12.53629476
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-27,2020/8/31,90.50632911,-14.3903799
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-28,2020/8/31,85.44303797,-19.02775595
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-29,2020/8/31,77.59493671,-27.32806336
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-30,2020/8/31,80.37974684,-22.48400634
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-31,2020/8/31,85.44303797,-18.77207544
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-32,2020/8/31,80.37974684,-24.70231412
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-33,2020/8/31,78.35443038,-27.23241883
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-34,2020/8/31,73.92405063,-30.70383235
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-35,2020/8/31,71.64556962,-32.41771295
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-36,2020/8/31,69.11392405,-34.96579043
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-37,2020/8/31,65.69620253,-37.28060218
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-38,2020/8/31,59.05063291,-44.59527916
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-39,2020/8/31,57.65822785,-44.393789
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-40,2020/8/31,56.4556962,-44.52035922
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-41,2020/8/31,53.86075949,-45.67914704
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-42,2020/8/31,52.02531646,-46.62989607
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-43,2020/8/31,51.32911392,-46.89623985
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-44,2020/8/31,51.32911392,-47.43520649
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-45,2020/8/31,51.4556962,-47.59848309
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-46,2020/8/31,52.40506329,-46.92517208
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-47,2020/8/31,50.3164557,-48.75218368
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-48,2020/8/31,53.16455696,-45.74962246
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-49,2020/8/31,52.08860759,-48.23280055
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-50,2020/8/31,51.83544304,-47.92005015
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-51,2020/8/31,56.83544304,-41.67911235
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-52,2020/8/31,57.59493671,-44.0213059
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-53,2020/8/31,57.46835443,-44.88600956
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-54,2020/8/31,57.78481013,-45.75396589
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-55,2020/8/31,56.83544304,-46.69610294
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-56,2020/8/31,55.75949367,-46.53440089
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-57,2020/8/31,53.16455696,-49.49149688
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-58,2020/8/31,55.69620253,-45.42774007
7153.KL,2.26,405,Kossan Rubber Industries Bhd,26823813,Add,-59,2020/8/31,57.78481013,-41.31209213
